WELL_NAME,REL_NAME,UBHI,STRING_NAME,FIELD,PRODUCTION_DATE,LAYER_NAME,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,CONDENSATE_VOLUME,OIL_MASS,GAS_MASS,WATER_MASS,CONDENSATE_MASS,FLOWING_HOURS
D-56,DZ,D-56,Single_String,OME,31-Oct-24,APYX-40,0,2337536,118.78,4.43,0,2.33,118.78,3.59,737.75
D-55,DL,D-55,Single_String,OME,31-Oct-24,APYX-50,0,0,0,0,0,0,0,0,0
D-54,DX,D-54,Single_String,OME,31-Oct-24,APYX10B,0,229091,0,37.47,0,0.22,0,30.35,647.99
D-53,DW,D-53,Single_String,OME,31-Oct-24,APYX10B,0,1940348,69.15,7.21,0,1.94,69.15,5.84,744
D-51,DV,D-51,Single_String,OME,31-Oct-24,APYX10B,0,0,0,0,0,0,0,0,0
D-4A,DH,D-4A,Single_String,OME,31-Oct-24,APYX-60,0,0,0,0,0,0,0,0,0
D-49,AR,D-49,Single_String,OME,31-Oct-24,NEYXAND,0,2371193,97.63,1.22,0,2.37,97.63,0.99,744
D-48,DU,D-48,Single_String,OME,31-Oct-24,APYX55B,0,36571,136.41,3.24,0,0.03,136.41,2.62,744
D-47,DQ,D-47,Single_String,OME,31-Oct-24,APYX-40,0,0,0,0,0,0,0,0,0
D-45,DS,D-45,Single_String,OME,31-Oct-24,APYX10B,0,1178398,27.6,0.25,0,1.17,27.6,0.2,744
D-44,DR,D-44,Single_String,OME,31-Oct-24,APYX10B,0,1769157,0,0.21,0,1.76,0,0.17,744
D-42,GT,D-42,Single_String,OME,31-Oct-24,APYX55B,0,943963,0,0.21,0,0.94,0,0.17,744
D-40,GT,40-I,Single_String,OME,31-Oct-24,APYX-40,0,0,0,0,0,0,0,0,0
D-39,DK,D-39,Single_String,OME,31-Oct-24,APYX-40,0,185722,46.59,0.52,0,0.18,46.59,0.42,360.01
D-38,DO,D-38,Single_String,OME,31-Oct-24,APYX-58,0,491908,206.34,5.47,0,0.49,206.34,4.43,744
D-37,AO,D-37,Single_String,OME,31-Oct-24,APYX-53,0,0,0,0,0,0,0,0,0
D-35,DD,D-35,Single_String,OME,31-Oct-24,APYX55B,0,1592113,45.68,1.52,0,1.59,45.68,1.23,744
-27A,DI,-27A,Single_String,OME,31-Oct-24,APYX-60,0,0,0,0,0,0,0,0,0
-24A,ub,-24A,Single_String,OME,31-Oct-24,APYX10B,0,2677004,42.42,4.53,0,2.67,42.42,3.67,729
HN-6,TI,HN-6,Single_String,HNA,30-Sep-24,TPYX-40,0,1541112,27.03,0,0,1.54,27.03,0,717.25
HN-5,AB,HN-5,Single_String,HNA,30-Sep-24,TPYXP-7,0,654143,8.96,0,0,0.65,8.96,0,716.33
MR-3,GT,MR-3,Single_String,URA,30-Sep-24,SPYX-34,0,0,0,0,0,0,0,0,0
R-2A,ub,R-2A,Single_String,URA,30-Sep-24,SPYX-34,0,0,0,0,0,0,0,0,0
RI-9,DB,RI-9,Single_String,ARI,30-Sep-24,SDYX-36,0,0,0,0,0,0,0,0,0
I-8Z,_Z,#NAME?,Single_String,ARI,30-Sep-24,SDYXPAY,0,0,0,0,0,0,0,0,0
